"id","default"
83086,0.527
322623,0.237
295605,0.15
368396,0.131
49445,0.23
23942,0.177
46241,0.178
360888,0.359
124782,0.332
155146,0.206
32233,0.33
11102,0.099
168924,0.384
233435,0.237
23158,0.486
184762,0.269
310462,0.353
187267,0.337
100000,0.201
221392,0.417
277067,0.468
200065,0.253
135237,0.409
116511,0.174
321082,0.252
197280,0.369
270993,0.334
332062,0.104
48694,0.211
210971,0.258
184802,0.523
78693,0.306
198430,0.469
369003,0.291
212263,0.356
81246,0.303
270473,0.364
270117,0.238
350633,0.428
144242,0.39
180403,0.478
206206,0.418
25999,0.121
51920,0.215
34381,0.341
79227,0.034
90920,0.276
167413,0.37
347787,0.204
297826,0.522
173583,0.258
79843,0.179
261052,0.178
266824,0.216
144252,0.548
335493,0.456
365451,0.141
204785,0.161
314224,0.353
357498,0.107
87067,0.107
162044,0.271
10936,0.326
199313,0.308
112839,0.201
295888,0.218
87438,0.365
225261,0.328
204490,0.518
78924,0.093
395831,0.355
80426,0.39
291171,0.127
258444,0.154
140876,0.385
222571,0.192
5820,0.264
251139,0.323
49616,0.334
273404,0.21
275213,0.231
13908,0.401
323460,0.341
272962,0.268
244342,0.362
199027,0.305
295317,0.119
241178,0.238
192906,0.528
4786,0.188
107339,0.382
24854,0.486
271877,0.252
101427,0.362
389275,0.393
11580,0.341
176359,0.305
131994,0.299
333532,0.169
301757,0.049
348196,0.514
60797,0.07
308127,0.129
219757,0.425
166724,0.378
332661,0.279
310805,0.222
160299,0.245
311805,0.256
346633,0.376
232215,0.16
100853,0.175
376425,0.343
271891,0.312
338185,0.372
58094,0.369
277657,0.225
156049,0.326
268573,0.344
215614,0.357
318421,0.199
66268,0.08
36058,0.565
204900,0.089
113195,0.062
100748,0.228
288958,0.251
65812,0.261
309391,0.367
258035,0.37
270255,0.261
43859,0.2
320899,0.237
34396,0.187
81120,0.296
109015,0.291
243587,0.321
202384,0.343
134890,0.192
218773,0.327
120539,0.204
336867,0.573
345279,0.095
11770,0.194
315069,0.173
375162,0.132
296175,0.042
289847,0.477
257948,0.2
391212,0.189
184528,0.216
329048,0.173
191568,0.397
390144,0.248
118012,0.521
14925,0.385
7194,0.308
88350,0.081
361017,0.136
13736,0.348
338684,0.216
114321,0.254
9484,0.436
157232,0.268
64277,0.241
197879,0.227
269663,0.357
38800,0.279
298907,0.217
143207,0.24
305556,0.272
334978,0.334
115510,0.068
229743,0.209
179423,0.3
17328,0.361
260823,0.364
349155,0.493
139521,0.226
281916,0.366
25856,0.314
222236,0.29
373584,0.27
176645,0.099
275371,0.172
389004,0.15
287204,0.291
46392,0.517
377030,0.384
33566,0.25
83341,0.466
77131,0.368
322024,0.346
249767,0.368
227575,0.254
172022,0.136
380140,0.541
286273,0.187
185537,0.131
305700,0.546
367183,0.282
52735,0.33
98042,0.186
66450,0.268
92495,0.267
142117,0.305
316694,0.372
307691,0.275
300358,0.528
377122,0.397
314154,0.225
155625,0.229
232355,0.136
249820,0.403
76696,0.182
201988,0.274
26577,0.184
248223,0.354
94590,0.186
325159,0.118
307551,0.275
200946,0.372
194106,0.134
125612,0.238
195315,0.55
172365,0.113
367698,0.389
14912,0.44
197268,0.551
308845,0.054
360691,0.516
119357,0.193
33174,0.118
310425,0.228
178353,0.285
395386,0.333
336839,0.385
227965,0.329
170875,0.35
238481,0.237
118946,0.146
375524,0.552
56702,0.12
204337,0.106
238155,0.092
230294,0.523
156485,0.241
197557,0.412
146848,0.231
208542,0.072
156316,0.137
246029,0.224
179538,0.223
117335,0.232
76624,0.266
223961,0.403
72391,0.416
393918,0.18
36778,0.217
343689,0.2
233419,0.611
53171,0.454
311803,0.222
235922,0.111
51965,0.429
44553,0.355
362587,0.144
129128,0.205
364585,0.109
266582,0.27
246804,0.037
354075,0.392
81631,0.384
42496,0.485
5717,0.139
385286,0.416
111674,0.466
11274,0.163
378436,0.22
346182,0.451
162696,0.299
170364,0.309
8209,0.174
20678,0.298
354989,0.229
271042,0.286
364740,0.232
210437,0.183
151889,0.192
284444,0.085
344852,0.168
26407,0.501
298019,0.171
326649,0.085
66303,0.087
52884,0.131
295737,0.475
128798,0.035
166742,0.215
133999,0.422
43548,0.25
298497,0.57
94780,0.191
236676,0.344
112900,0.389
254858,0.096
373070,0.522
144140,0.242
260833,0.474
217244,0.316
284979,0.445
390386,0.293
366974,0.378
249500,0.252
284503,0.283
160801,0.364
225447,0.173
365313,0.131
153079,0.111
165369,0.286
152925,0.357
262500,0.554
159783,0.307
296870,0.322
227883,0.344
82085,0.169
328101,0.191
315454,0.337
243057,0.227
63585,0.059
197836,0.205
328509,0.289
192753,0.514
254578,0.236
4690,0.203
326191,0.225
249505,0.104
21216,0.226
364978,0.383
351245,0.347
151815,0.299
125825,0.189
32245,0.191
168827,0.425
294665,0.185
99787,0.19
294796,0.567
113316,0.479
50451,0.124
21598,0.219
30961,0.322
345814,0.464
352249,0.298
380837,0.433
183575,0.082
269936,0.345
258598,0.462
32968,0.289
372628,0.041
299387,0.38
373706,0.322
153546,0.38
170569,0.314
235382,0.141
221811,0.237
79810,0.297
312309,0.561
254544,0.415
129821,0.217
49327,0.182
76445,0.462
65364,0.284
208633,0.091
110570,0.302
190450,0.377
291343,0.223
335433,0.158
163709,0.211
315664,0.291
339574,0.116
386801,0.485
233366,0.23
320065,0.237
257212,0.534
118421,0.159
326094,0.327
295751,0.56
96786,0.315
38050,0.061
370563,0.165
366554,0.383
310830,0.204
232891,0.519
302430,0.107
95794,0.243
58888,0.205
379390,0.307
272786,0.163
100305,0.331
373443,0.622
328887,0.146
275627,0.434
19262,0.346
29703,0.481
219212,0.275
326114,0.254
106868,0.055
255222,0.036
347976,0.039
313908,0.261
324182,0.35
321643,0.419
116900,0.239
113588,0.281
43087,0.391
7793,0.234
240924,0.345
28842,0.227
272104,0.304
273685,0.234
310824,0.309
154942,0.459
132838,0.131
147665,0.172
71683,0.251
373886,0.367
94140,0.339
358939,0.197
162025,0.392
181420,0.328
251407,0.183
143809,0.145
111192,0.336
20414,0.355
73515,0.166
292712,0.115
347064,0.342
30146,0.23
37362,0.154
132139,0.163
83277,0.243
125696,0.199
79495,0.36
51813,0.333
24834,0.336
284573,0.237
31629,0.276
106672,0.293
204628,0.387
131189,0.474
309900,0.489
221411,0.341
7533,0.262
365032,0.26
26514,0.341
347111,0.248
111723,0.342
238894,0.482
319597,0.215
94625,0.132
373325,0.29
253864,0.14
212867,0.582
134167,0.145
115286,0.365
180615,0.199
310449,0.507
113232,0.332
135577,0.167
341846,0.119
131854,0.445
161314,0.37
239712,0.271
37269,0.36
272131,0.447
303294,0.474
295297,0.622
276579,0.237
383148,0.228
261750,0.394
100114,0.532
258332,0.03
113979,0.277
314391,0.257
334950,0.196
201193,0.346
190435,0.507
115916,0.152
297500,0.265
95869,0.46
357944,0.111
116094,0.333
380108,0.106
131856,0.501
298640,0.226
68507,0.363
198866,0.217
9717,0.433
186487,0.253
293455,0.36
371846,0.274
321736,0.276
257778,0.281
259631,0.1
50197,0.371
383227,0.353
81813,0.416
232647,0.269
68972,0.203
81214,0.208
186093,0.237
275678,0.296
129813,0.582
208160,0.485
381972,0.491
229297,0.564
335024,0.305
104086,0.199
59487,0.158
